ts,uptimeNanos,accel_x,accel_y,accel_z,linaccel_x,linaccel_y,linaccel_z,gyro_x,gyro_y,gyro_z,labels,rownumber,uptimenanos_diff,uptimesecond_diff,uptimemilli_diff
2016-05-15 16:06:32,11365602419947,-0.3661417276224981,-0.912679473505289,9.943590069089344,-0.3661417700943303,-0.9126794558220864,0.1369395043200967,-0.0642904940704121,-0.0031805657677724,-0.1006730904165529,4.0,46,1167890828492,1167.9,1167890.828492
2016-05-15 16:06:58,11391065871798,0.031769604953391,0.1785444566176686,9.981542789284044,0.0317696299862175,0.1785444772107229,0.1748914615047439,0.023672913773665,0.0199846670865822,-0.0071213446878177,0.0,19,1193354280343,1193.4,1193354.2803429998
2016-05-15 15:50:14,10387273135764,1.104653466787911,-0.2673565308611425,10.68183146553876,1.1046533990863026,-0.2673565208361772,0.8751820127689482,-0.0190252927174653,0.1912178980513363,-0.4464482449030779,0.0,29,189561544309,189.6,189561.544309
2016-05-15 15:47:26,10218856319058,0.4284680151423856,-0.161717158731717,9.96348061564819,0.4284683136356529,-0.1617171692633778,0.1568292205734733,-0.0018157867618158,0.024333543584058,-0.0887256798387113,0.0,8,21144727603,21.1,21144.727603
2016-05-14 11:00:25,11889825894923,1.3138331500109253,-3.536604829255772,8.002900547035779,1.313833354078028,-3.536605451522448,-1.8037503906899983,-0.0764710155019614,0.0016635819513268,-0.0451601018095166,2.0,41,1692114303468,1692.1,1692114.303468
2016-05-14 11:19:55,13059908452394,1.6015530126915962,1.1035516036233162,11.2806490922511,1.6015530222496324,1.10355154359776,1.473998428862444,-0.0296281178507903,0.01881507362553,0.0355924549152725,6.0,45,2862196860939,2862.2,2862196.860939
2016-05-14 11:22:35,13219428672122,0.9007646977278014,-0.0212944302302773,9.94309344656246,0.900764515929005,-0.0212940795241323,0.1364442500097986,0.0927459476165191,0.0629614345335663,0.0479178468432561,5.0,21,3021717080667,3021.7,3021717.080667
2016-05-15 16:10:18,11591327065122,3.499995364267093,3.311769796860588,11.74339164364858,3.499995252591738,3.311769840910241,1.9367418396390528,-0.0789738933677539,0.054967201323219,0.0473540822772864,6.0,32,1393615473667,1393.6,1393615.473667
2016-05-14 11:02:51,12035241429775,1.7388861445286912,4.326688915909124,14.355385911473666,1.7388861150008452,4.32668911168232,4.548734332491039,0.182930597416278,-0.0368253005197649,0.604649393529066,2.0,12,1837529838320,1837.5,1837529.83832
2016-05-15 15:53:56,10609205441552,-1.0680152515732215,-0.5518964446105823,9.686138707079529,-1.0680151791200316,-0.551896449208626,-0.120510520502838,0.0591453781703316,0.0860156031088645,0.0944575085562786,2.0,26,411493850097,411.5,411493.850097
